Account Name,Deal Name, Sum of ARR($) , Sum of MRR($) 
Abarca Health_PR,Abarca Health_PR // FS // 0 (DN) // Enterprise Annual," (758,873.76)"," (63,239.48)"
,Abarca Health_PR // FS // 0 (UP) // Enterprise Annual," 801,779.04 ",#VALUE!
AGFA Healthcare (LATAM),AGFA Healthcare (LATAM) // FCA // 0 (UP) // Freshcaller - Pro Monthly USD, 564.00 ,#VALUE!
Bermuda Hospitals Board,Bermuda Hospitals Board // FS // 0 (UP) // Enterprise Annual," 8,406.60 ",#VALUE!
Bon Dominican Republic 3,Bon Dominican Republic 3 // FD Omni // 0 (UP) // Freshdesk Omni - Pro Quarterly USD, 996.00 ,#VALUE!
Conwaste,Conwaste // FDSD // 0 (DN) // Freshdesk - Pro Annual USD," (2,705.04)",#VALUE!
,Conwaste // FDSD // 0 (UP) // Freshdesk - Pro Annual USD," 2,964.00 ",#VALUE!
Disfarma,Disfarma // FS // 0 (UP) // Starter Monthly, 696.00 ,#VALUE!
Evertec Group LLC,Evertec Group LLC // FS // 4 (NB) // Growth Annual," 2,352.00 ",#VALUE!
Government of the Bahamas,Government of the Bahamas // FCA // 10 (NB) // Freshcaller - Pro Annual USD," 3,744.00 ",#VALUE!
,Government of the Bahamas // FCH // 10 (NB) // Freshchat - Pro Annual USD," 4,704.00 ",#VALUE!
,Government of the Bahamas // FS // 60 (NB) // Pro Annual," 54,408.24 ",#VALUE!
GrupoCGarnier,GrupoCGarnier // FDSD // 0 (UP) // Freshdesk - Growth Monthly USD, 864.00 ,#VALUE!
guedez barefield advisors mexico sa de cv on behalf of autopartes y mÃƒÆ’Ã‚Â¡s sa de cv,guedez barefield advisors mexico sa de cv on behalf of autopartes y mÃƒÆ’Ã‚Â¡s sa de cv // FCH // 0 (UP) // Freshchat - Pro Annual USD, 150.00 ,#VALUE!
HCB,HCB // FDSD // 0 (UP) // Freshdesk - Pro Annual USD," 1,499.40 ",#VALUE!
,HCB // FDSD // 1 (NB) // Freshdesk - Pro Annual USD, 588.00 ,#VALUE!
instacredit,instacredit // FS // 0 (UP) // Growth Monthly, 566.40 ,#VALUE!
Jamaica Broilers,Jamaica Broilers // FDSD // 0 (DN) // Freshdesk - Pro Annual USD," (2,394.12)",#VALUE!
,Jamaica Broilers // FDSD // 0 (UP) // Freshdesk - Pro Annual USD," 2,448.00 ",#VALUE!
,Jamaica Broilers // FS // 0 (UP) // Pro Annual, 936.00 ,#VALUE!
Liberty PR,Liberty PR // FDSD // 0 (DN) // Freshdesk - Pro Monthly USD," (11,328.00)",#VALUE!
,Liberty PR // FDSD // 0 (UP) // Freshdesk - Pro Monthly USD," 14,999.88 ",#VALUE!
Neogen Corporation,Neogen Corporation // FS // 0 (UP) // Enterprise Annual, 468.00 ,#VALUE!
OpSec Security,OpSec Security // FDSD // 0 (UP) // Freshdesk - Pro Monthly USD," 1,196.40 ",#VALUE!
,OpSec Security // FS // 0 (UP) // Enterprise Annual," 3,801.12 ",#VALUE!
personal,personal // FSA // 1 (NB) // Freshsales - Growth Monthly USD, 132.00 ,
PodemosProgresar,PodemosProgresar // FD Omni // 0 (UP) // Freshdesk Omni - Pro Annual USD, 72.00 ,
,PodemosProgresar // FDSD // 0 (UP) // Freshdesk - Pro Annual USD, 48.00 ,
Santo Domingo Motors,Santo Domingo Motors // FS // 0 (UP) // Growth Monthly, 436.80 ,
Teknei,Teknei // FS // 0 (DN) // Pro Monthly, (500.76),
,Teknei // FS // 0 (UP) // Pro Monthly, 500.76 ,
Tojume,Tojume // FDSD // 0 (DN) // Freshdesk - Pro Monthly USD, (423.12),
,Tojume // FDSD // 0 (UP) // Freshdesk - Pro Monthly USD, 504.00 ,
Universidad TecnolÃƒÂ³gica de Santiago,Universidad TecnolÃƒÂ³gica de Santiago // FDSD // 0 (UP) // Estate Monthly plan 2020," 6,624.00 ",
Urucosta de America S.A,Urucosta de America S.A // FDSD // 0 (UP) // Freshdesk - Growth Annual USD, 540.00 ,
USIC,USIC // FS // 0 (UP) // Pro Annual," 1,971.84 ",
Grand Total,," 142,735.68 ",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
